;singlish;english;meaning;sentiment_description;sentiment_score
0;Bugis oso near wat...;Bugis also near what;inquiring about the proximity of a location;Neutral;1.0
1;Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...;Going to Jurong Point is crazy. The buffet is only available in Bugis and Great World. There's Amore at the cinema;"Statement with some negative words (""crazy"")";Negative;0.65
2;I dunno until when... Lets go learn pilates...;I don't know until when. Let's go learn Pilates.;Suggesting an activity;Neutral;1.0
3;Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...;The special price is only for weekdays. Sigh. Can't eat anymore. I also need to cut nails and wait until I finish driving and eat lunch.;"Expressing frustration (""Sigh"") and necessity";Negative;0.4
4;Meet after lunch la...;Let's meet after lunch;Suggesting a meeting;Neutral;1.0
5;m walking in citylink now ü faster come down... Me very hungry...;I'm walking in Citylink now, you faster come down. I'm very hungry.;Expressing urgency and hunger;Negative;0.6
6;5 nights...We nt staying at port step liao...Too ex;Five nights. We are not staying at Port Stephens anymore. Too expensive.;Expressing a change of plans due to expense;Negative;0.3
7;Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!;Hey people. $700 or $900 for 5 nights. Excellent location with breakfast hamper!!!;Advertising a good travel deal;Positive;1.7
8;Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn;Yun, the Ubi branch says if you want, call by tomorrow. Call 67441233 look for Irene. There are only buses 8, 22, 65, 61, 66, 382. Ubi Cres, Ubi Tech Park. $6 per hour for the first 5 working days.;Giving information;Neutral;1.0
9;Hey tmr maybe can meet you at yck;Hey tomorrow maybe can meet you at Yew Chung International School;Suggesting a meeting;Neutral;1.0
10;Oh...i asked for fun. Haha...take care. ü;Oh, I asked for fun. Haha, take care you.;Playful and caring;Positive;1.6
11;We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that;We are supposed to meet to discuss about our trip. Thought Xuhui told you? In the afternoon. Thought we can go for a lesson after that.;Expressing an expectation and suggesting an activity;Neutral;1.0
12;t finish my film yet...;I haven't finished my film yet.;Progress update;Neutral;1.0
13;m having dinner with my cousin...;I'm having dinner with my cousin.;Giving information;Neutral;1.0
14;Oh... Kay... On sat right?;Oh, okay. On Saturday right?;Confirming information;Neutral;1.0
15;I need... Coz i never go before;I need, because I never go before.;Expressing a need;Neutral;1.0
16;s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free;It's a basic yoga course, at Bugis. We can go for that. Pilates intro next Saturday. Tell me what time you are free.;Suggesting a course and asking for availability;Neutral;1.0
17;I am going to sao mu today. Will be done only at 12;I am going to the temple today. Will only be done at 12.;Stating plans;Neutral;1.0
18;Hey gals...U all wanna meet 4 dinner at nìte?;Hey girls, do you all want to meet for dinner at night?;Suggesting a meeting;Neutral;1.0
19;Jos ask if u wana meet up?;Jos asked if you want to meet up?;Inquiring about meeting up;Neutral;1.0
20;Haiyoh... Maybe your hamster was jealous of million;Oh dear, maybe your hamster was jealous of a million.;Expression of empathy and speculation;Negative;0.7
21;is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?;Is your hamster dead? Hey, so tomorrow I'll meet you at 1pm at Orchard MRT?;Asking about a pet and confirming plans;Negative;0.5
22;ve booked the pilates and yoga lesson already... Haha;I have booked the Pilates and Yoga lesson already. Haha.;Confirmation and happiness;Positive;1.7
23;Yup... I havent been there before... You want to go for the yoga? I can call up to book;Yes, I haven't been there before. You want to go for the yoga? I can call to book.;Agreement, question and offering to book;Neutral;1.1
24;K... Must book a not huh? so going for yoga basic on sunday?;Okay, do we need to book? So, are we going for yoga basic on Sunday?;Confirmation and question;Neutral;1.0
